priority_rank,sku_id,category,product_name,mrp_rupees,selling_price_rupees,discount_percent,available_quantity,weight_gms,is_out_of_stock,stockout_rate_pct,available_inventory_value_rupees,priority_score
192,2369,Munchies,"India Gate Basmati Rice",210.0,210.0,0,0,1000,1,12.45,0.0,50
193,1560,"Home & Cleaning","Gala No Dust Broom",190.0,175.0,7,0,58,1,9.84,0.0,50
194,606,"Chocolates & Candies","The Whole Truth Peanut Butter - Unsweetened & Crunchy",185.0,148.0,20,0,325,1,11.6,0.0,50
195,1481,"Health & Hygiene","Whisper Bindazzz Night Sanitary Pads XL Plus",185.0,185.0,0,0,870,1,13.4,0.0,50
196,2021,"Ice Cream & Desserts","The Whole Truth Peanut Butter - Unsweetened & Crunchy",185.0,148.0,20,0,325,1,11.6,0.0,50
197,2985,"Paan Corner","Whisper Bindazzz Night Sanitary Pads XL Plus",185.0,185.0,0,0,870,1,6.14,0.0,50
198,3330,"Packaged Food","The Whole Truth Peanut Butter - Unsweetened & Crunchy",185.0,148.0,20,0,325,1,11.6,0.0,50
199,3717,"Personal Care","Whisper Bindazzz Night Sanitary Pads XL Plus",185.0,185.0,0,0,870,1,6.14,0.0,50
200,1146,"Cooking Essentials","Tata Sampann Unpolished Toor Dal/Arhar Dal",179.0,177.0,1,0,1000,1,12.45,0.0,50
201,2624,Munchies,"Tata Sampann Unpolished Toor Dal/Arhar Dal",179.0,177.0,1,0,1000,1,12.45,0.0,50
202,305,"Chocolates & Candies","Chef's Basket Durum Wheat Penne Pasta",160.0,80.0,50,0,500,1,11.6,0.0,50
203,385,"Chocolates & Candies","ITC Master Chef Cheesy Corn Triangles",160.0,152.0,5,0,320,1,11.6,0.0,50
204,743,"Cooking Essentials","Chef's Basket Durum Wheat Penne Pasta",160.0,80.0,50,0,500,1,12.45,0.0,50
205,1720,"Ice Cream & Desserts","Chef's Basket Durum Wheat Penne Pasta",160.0,80.0,50,0,500,1,11.6,0.0,50
